Image,Title,Rating,Price,Ad/Organic Result
https://m.media-amazon.com/images/I/71phX67q6zL._AC_UY218_.jpg,"HP 15S AMD Ryzen 5000 (16GB Ram/512GB SSD/Fhd/Windows 11/Ms Office 21/Backlit Keyboard/ 15.6"" (39.6 Cm)/Silver/2.21 Kg) Eq2305Au/Eq2182Au Laptop",4.0,"33,990",Organic
https://m.media-amazon.com/images/I/71hC42cKbsL._AC_UY218_.jpg,"HP Victus, AMD Ryzen 5 5600H, AMD Radeon RX 6500 Graphics, 8GB DDR4, 512GB SSD, IPS, 15.6-inch(39.6cm) FHD Gaming Laptop, Enhanced Cooling (Win 11, Office 21, Blue, 2.37kg) fb0147AX/fb0184AX",3.8,"33,990",Organic
https://m.media-amazon.com/images/I/51Py6MEOAaL._AC_UY218_.jpg,"Chuwi GemiBook Plus 15.6"" Laptop, 8GB RAM 256GB SSD, Windows 11, Intel N100 (Upto 3.4GHz), WIFI 6, USB-A 3.0, Webcam, Bluetooth 5.2, HDMI Port, 38Wh, 1.7kg (Iron Gray)",3.6,"33,990",Organic
https://m.media-amazon.com/images/I/71pVO1U9oeL._AC_UY218_.jpg,"ASUS TUF Gaming, AMD Ryzen AI 9 HX 370, 2.0GHz, NVIDIA GeForce RTX 4060, 32GB RAM, 2TB SSD, FHD 165Hz 400nits, 14"", Windows 11, MS Office 2021, Jaeger Gray, 1.46KG, FA401WV-RG037WS Gaming Laptop",4.3,"33,990",Organic
https://m.media-amazon.com/images/I/513p8BwV-RL._AC_UY218_.jpg,"Acer Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/16 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG",4.0,"33,990",Organic
https://m.media-amazon.com/images/I/81adHsgHydL._AC_UY218_.jpg,"Lenovo IdeaPad Slim 3 13th Gen Core i3-1305U (8GB RAM/512GB SSD/Integrated Intel UHD Graphics/14 inch (35.5cm)/Windows 11/ MS Office 2021/Grey/1.3Kg), 82X6004GIN Thin & Light Laptop",4.1,"33,990",Sponsored
https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN",4.0,"33,990",Sponsored
https://m.media-amazon.com/images/I/51gdnePMkNL._AC_UL640_QL65_.jpg,iBELL SL-30B Digital Electronic Safe Locker for Personal and Office Use | 30L Black Locker with White LED Light and Emergency Key Access ..,No Rating,"6,160",Sponsored
https://m.media-amazon.com/images/I/51Llzb1uakL._AC_UY218_.jpg,"Acer Aspire 3 Intel Core i3-1305U Processor Laptop with 35.56 cm (14"") Full HD LED-Backlit IPS Display (16 GB RAM/512 GB SSD/WiFi 6/Intel Graphics/Win11 Home/65W) A324-53, Steel Gray, 1.45KG",No Rating,"33,990",Organic
https://m.media-amazon.com/images/I/71phX67q6zL._AC_UL320_.jpg,Highly rated,4.0,"33,990",Sponsored
https://m.media-amazon.com/images/I/71phX67q6zL._AC_UL320_.jpg,"HP 15S AMD Ryzen 5000 (16GB Ram/512GB SSD/Fhd/Windows 11/Ms Office 21/Backlit Keyboard/ 15.6"" (39.6 Cm)/Silver/2.21 Kg) Eq2305Au/Eq2182Au Laptop",4.0,"33,990",Organic
https://m.media-amazon.com/images/I/81sI6re6MPL._AC_UL320_.jpg,"Lenovo LOQ, Intel Core i5-13450HX, 13th Gen, NVIDIA RTX 3050-6GB, 16GB RAM, 512GB SSD, FHD 144Hz 300Nits, 15.6""/39.6cm, Windows 11, MS Office 21, Grey, 2.4Kg, 83DV00BHIN, 100% sRGB Gaming Laptop",4.0,"33,990",Organic
https://m.media-amazon.com/images/I/71gaqhm080L._AC_UL320_.jpg,"Lenovo IdeaPad 3, Intel Core i3-1215U, 12th Gen, 8GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MSOffice 2021, Arctic Grey, 1.43Kg, 82RJ00FUIN, 1 Year Warranty, 3months Game Pass, Thin& Light Laptop",4.0,"33,990",Organic
https://m.media-amazon.com/images/I/81adHsgHydL._AC_UL320_.jpg,"Lenovo IdeaPad Slim 3 13th Gen Core i3-1305U (8GB RAM/512GB SSD/Integrated Intel UHD Graphics/14 inch (35.5cm)/Windows 11/ MS Office 2021/Grey/1.3Kg), 82X6004GIN Thin & Light Laptop",4.1,"33,990",Organic
https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UL320_.jpg,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN",4.0,"33,990",Organic
